Gene symbol,Official name,tissue
CTHRC1,collagen triple helix repeat containing 1,both
CTSD,cathepsin D,both
CTSS,cathepsin S,both
CX3CL1,C-X3-C motif chemokine ligand 1,both
CX3CR1,C-X3-C motif chemokine receptor 1,both
CXCL1,C-X-C motif chemokine ligand 1,both
CXCL16,C-X-C motif chemokine ligand 16,both
CXCL2,C-X-C motif chemokine ligand 2,both
CXCL6,C-X-C motif chemokine ligand 6,both
CYBB,cytochrome b-245 beta chain,both
CYBRD1,cytochrome b reductase 1,both
CYR61,cysteine rich angiogenic inducer 61,both
DACT1,dishevelled binding antagonist of beta catenin 1,both
DBNDD1,dysbindin domain containing 1,both
DCBLD2,discoidin. CUB and LCCL domain containing 2,both
DCDC2,doublecortin domain containing 2,both
DCN,decorin,both
DCUN1D2,defective in cullin neddylation 1 domain containing 2,both
DDIT3,DNA damage inducible transcript 3,both
DDN,dendrin,both
DDR2,discoidin domain receptor tyrosine kinase 2,both
DEF6,DEF6. guanine nucleotide exchange factor,both
DERL3,derlin 3,both
DLG2,discs large MAGUK scaffold protein 2,both
DLGAP1,DLG associated protein 1,both
DNAH9,dynein axonemal heavy chain 9,both
DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,both
DNAJC27,DnaJ heat shock protein family (Hsp40) member C27,both
DOCK11,dedicator of cytokinesis 11,both
DOCK2,dedicator of cytokinesis 2,both
DOK2,docking protein 2,both
DOT1L,DOT1 like histone lysine methyltransferase,both
DPYSL3,dihydropyrimidinase like 3,both
DUSP1,dual specificity phosphatase 1,both
DUSP16,dual specificity phosphatase 16,both
DUSP5,dual specificity phosphatase 5,both
DVL1,dishevelled segment polarity protein 1,both
DYRK1A,dual specificity tyrosine phosphorylation regulated kinase 1A,both
EBI3,Epstein-Barr virus induced 3,both
EGF,epidermal growth factor,both
EGR1,early growth response 1,both
EGR2,early growth response 2,both
EGR3,early growth response 3,both
EIF4A1,eukaryotic translation initiation factor 4A1,both
EIF4A2,eukaryotic translation initiation factor 4A2,both
ELL2,elongation factor for RNA polymerase II 2,both
ELMSAN1,ELM2 and Myb/SANT domain containing 1,both
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,both
EPB41L5,erythrocyte membrane protein band 4.1 like 5,both
ERICH5,glutamate rich 5,both
ERRFI1,ERBB receptor feedback inhibitor 1,both
ESM1,endothelial cell specific molecule 1,both
ETS2,ETS proto-oncogene 2. transcription factor,both
ETV4,ETS variant 4,both
EVL,Enah/Vasp-like,both
EXOSC6,exosome component 6,both
F13A1,coagulation factor XIII A chain,both
F3,coagulation factor III. tissue factor,both
FABP5,fatty acid binding protein 5,both
FAM110B,family with sequence similarity 110 member B,both
FAM131A,family with sequence similarity 131 member A,both
FAM133B,family with sequence similarity 133 member B,both
FAM174A,family with sequence similarity 174 member A,both
FAM180A,family with sequence similarity 180 member A,both
FAM200B,family with sequence similarity 200 member B,both
FAM204A,family with sequence similarity 204 member A,both
FAM47E,family with sequence similarity 47 member E,both
FAM76A,family with sequence similarity 76 member A,both
FAM89A,family with sequence similarity 89 member A,both
FAS,Fas cell surface death receptor,both
FBLN1,fibulin 1,both
FBLN5,fibulin 5,both
FBXL12,F-box and leucine rich repeat protein 12,both
FBXO33,F-box protein 33,both
FCER1A,Fc fragment of IgE receptor Ia,both
FCER1G,Fc fragment of IgE receptor Ig,both
FCGR2A,Fc fragment of IgG receptor IIa,both
FCMR,Fc fragment of IgM receptor,both
FERMT2,fermitin family member 2,both
FGF1,fibroblast growth factor 1,both
FGL2,fibrinogen like 2,both
FIBIN,fin bud initiation factor homolog,both
FMO3,flavin containing monooxygenase 3,both
FMOD,fibromodulin,both
FN1,fibronectin 1,both
FOLR2,folate receptor beta,both
FOS,Fos proto-oncogene. AP-1 transcription factor subunit,both
FOSB,FosB proto-oncogene. AP-1 transcription factor subunit,both
FOSL1,FOS like 1. AP-1 transcription factor subunit,both
FOXO1,forkhead box O1,both
FRMD1,FERM domain containing 1,both
FRMD3,FERM domain containing 3,both
FXR2,FMR1 autosomal homolog 2,both
FYB1,FYN binding protein 1,both
FZD2,frizzled class receptor 2,both
G0S2,G0/G1 switch 2,both
GABARAPL2,GABA type A receptor associated protein like 2,both
GADD45B,growth arrest and DNA damage inducible beta,both
GALNT16,polypeptide N-acetylgalactosaminyltransferase 16,both
GALNT6,polypeptide N-acetylgalactosaminyltransferase 6,both
GALNT7,polypeptide N-acetylgalactosaminyltransferase 7,both
GEM,GTP binding protein overexpressed in skeletal muscle,both
GFRA1,GDNF family receptor alpha 1,both
GGT5,gamma-glutamyltransferase 5,both
GHR,growth hormone receptor,both
GLIPR1,GLI pathogenesis related 1,both
GLIPR2,GLI pathogenesis related 2,both
GM2A,GM2 ganglioside activator,both
GMDS,GDP-mannose 4.6-dehydratase,both
GNG4,G protein subunit gamma 4,both
GOLIM4,golgi integral membrane protein 4,both
GPC4,glypican 4,both
GPR143,G protein-coupled receptor 143,both
GPR3,G protein-coupled receptor 3,both
GPR34,G protein-coupled receptor 34,both
GRASP,general receptor for phosphoinositides 1 associated scaffold protein,both
GRN,granulin precursor,both
GTF2A2,general transcription factor IIA subunit 2,both
GTPBP1,GTP binding protein 1,both
GUCY1A1,guanylate cyclase 1 soluble subunit alpha 1,both
H2AFV,H2A histone family member V,both
H2AFY,H2A histone family member Y,both
HAVCR1,hepatitis A virus cellular receptor 1,both
HAVCR2,hepatitis A virus cellular receptor 2,both
HBEGF,heparin binding EGF like growth factor,both
HCK,HCK proto-oncogene. Src family tyrosine kinase,both
HCLS1,hematopoietic cell-specific Lyn substrate 1,both
HDAC9,histone deacetylase 9,both
HEBP1,heme binding protein 1,both
HES1,hes family bHLH transcription factor 1,both
HES4,hes family bHLH transcription factor 4,both
HGF,hepatocyte growth factor,both
HIVEP2,human immunodeficiency virus type I enhancer binding protein 2,both
HM13,histocompatibility minor 13,both
HMCES,5-hydroxymethylcytosine binding. ES cell specific,both
HNF1B,HNF1 homeobox B,both
HNRNPDL,heterogeneous nuclear ribonucleoprotein D like,both
HOMER3,homer scaffold protein 3,both
HPGD,15-hydroxyprostaglandin dehydrogenase,both
HSPA12A,heat shock protein family A (Hsp70) member 12A,both
HSPB6,heat shock protein family B (small) member 6,both
HTR2B,5-hydroxytryptamine receptor 2B,both
HTRA1,HtrA serine peptidase 1,both
ID4,inhibitor of DNA binding 4. HLH protein,both
IER2,immediate early response 2,both
IGF1,insulin like growth factor 1,both
IGFBP1,insulin like growth factor binding protein 1,both
IGFBP2,insulin like growth factor binding protein 2,both
IGFBP6,insulin like growth factor binding protein 6,both
IKZF1,IKAROS family zinc finger 1,both
IL10RA,interleukin 10 receptor subunit alpha,both
IL16,interleukin 16,both
IL2RG,interleukin 2 receptor subunit gamma,both
IL32,interleukin 32,both
IL33,interleukin 33,both
IL4I1,interleukin 4 induced 1,both
IL6R,interleukin 6 receptor,both
IMPDH2,inosine monophosphate dehydrogenase 2,both
ING1,inhibitor of growth family member 1,both
INPP5D,inositol polyphosphate-5-phosphatase D,both
INSYN1,inhibitory synaptic factor 1,both
IP6K3,inositol hexakisphosphate kinase 3,both
IQGAP2,IQ motif containing GTPase activating protein 2,both
IRF2BP2,interferon regulatory factor 2 binding protein 2,both
IRF8,interferon regulatory factor 8,both
IRS2,insulin receptor substrate 2,both
ISLR,immunoglobulin superfamily containing leucine rich repeat,both
ITGA3,integrin subunit alpha 3,both
ITGA4,integrin subunit alpha 4,both
ITGAL,integrin subunit alpha L,both
ITGB2,integrin subunit beta 2,both
ITGB4,integrin subunit beta 4,both
ITGB6,integrin subunit beta 6,both
ITM2B,integral membrane protein 2B,both
ITM2C,integral membrane protein 2C,both
ITPKC,inositol-trisphosphate 3-kinase C,both
ITPRIP,inositol 1.4.5-trisphosphate receptor interacting protein,both
IZUMO4,IZUMO family member 4,both
JAK1,Janus kinase 1,both
JAZF1,JAZF zinc finger 1,both
JCHAIN,joining chain of multimeric IgA and IgM,both
JDP2,Jun dimerization protein 2,both
JOSD1,Josephin domain containing 1,both
JPT1,Jupiter microtubule associated homolog 1,both
JUN,Jun proto-oncogene. AP-1 transcription factor subunit,both
JUNB,JunB proto-oncogene. AP-1 transcription factor subunit,both
JUND,JunD proto-oncogene. AP-1 transcription factor subunit,both
KAT2B,lysine acetyltransferase 2B,both
KCNB1,potassium voltage-gated channel subfamily B member 1,both
KCNIP4,potassium voltage-gated channel interacting protein 4,both
KCNJ8,potassium voltage-gated channel subfamily J member 8,both
KCTD1,potassium channel tetramerization domain containing 1,both
KDM4A,lysine demethylase 4A,both
KDM6B,lysine demethylase 6B,both
KIRREL1,kirre like nephrin family adhesion molecule 1,both
KITLG,KIT ligand,both
KLF16,Kruppel like factor 16,both
KLF4,Kruppel like factor 4,both
KLF6,Kruppel like factor 6,both
KLF9,Kruppel like factor 9,both
KLHL13,kelch like family member 13,both
KLHL21,kelch like family member 21,both
KLK7,kallikrein related peptidase 7,both
KRT7,keratin 7,both
LACC1,laccase domain containing 1,both
LAD1,ladinin 1,both
LAMA4,laminin subunit alpha 4,both
LAMA5,laminin subunit alpha 5,both
LAMC1,laminin subunit gamma 1,both
LAMC2,laminin subunit gamma 2,both
LAMC3,laminin subunit gamma 3,both
LAPTM5,lysosomal protein transmembrane 5,both
LAT2,linker for activation of T cells family member 2,both
LATS2,large tumor suppressor kinase 2,both
LCK,LCK proto-oncogene. Src family tyrosine kinase,both
LCP1,lymphocyte cytosolic protein 1,both
LDLR,low density lipoprotein receptor,both
LDLRAP1,low density lipoprotein receptor adaptor protein 1,both
LEPR,leptin receptor,both
LGALS9,galectin 9,both
LGALSL,galectin like,both
LIPA,lipase A. lysosomal acid type,both
LONRF1,LON peptidase N-terminal domain and ring finger 1,both
LONRF3,LON peptidase N-terminal domain and ring finger 3,both
LOXL2,lysyl oxidase like 2,both
LPAR1,lysophosphatidic acid receptor 1,both
LPL,lipoprotein lipase,both
LRRC2,leucine rich repeat containing 2,both
LRRN4,leucine rich repeat neuronal 4,both
LSP1,lymphocyte specific protein 1,both
LTB,lymphotoxin beta,both
LTF,lactotransferrin,both
LUM,lumican,both
LY86,lymphocyte antigen 86,both
LYNX1,Ly6/neurotoxin 1,both
MAFF,MAF bZIP transcription factor F,both
MAFG,MAF bZIP transcription factor G,both
MAFK,MAF bZIP transcription factor K,both
MAGI2,membrane associated guanylate kinase. WW and PDZ domain containing 2,both
MAN2B1,mannosidase alpha class 2B member 1,both
MAP1A,microtubule associated protein 1A,both
MAP3K1,mitogen-activated protein kinase kinase kinase 1,both
MAPK13,mitogen-activated protein kinase 13,both
MARCHF1,membrane associated ring-CH-type finger 1,both
MARCKS,myristoylated alanine rich protein kinase C substrate,both
MCL1,MCL1. BCL2 family apoptosis regulator,both
MDK,midkine,both
MEF2D,myocyte enhancer factor 2D,both
MEPCE,methylphosphate capping enzyme,both
MFAP4,microfibril associated protein 4,both
MFSD10,major facilitator superfamily domain containing 10,both
MGLL,monoglyceride lipase,both
MIB1,mindbomb E3 ubiquitin protein ligase 1,both
MIDN,midnolin,both
MKI67,marker of proliferation Ki-67,both
MME,membrane metalloendopeptidase,both
MMP14,matrix metallopeptidase 14,both
MMP2,matrix metallopeptidase 2,both
MMP7,matrix metallopeptidase 7,both
MNT,MAX network transcriptional repressor,both
MOXD1,monooxygenase DBH like 1,both
MPEG1,macrophage expressed 1,both
MPZL1,myelin protein zero like 1,both
MPZL2,myelin protein zero like 2,both
MRAS,muscle RAS oncogene homolog,both
MRC1,mannose receptor C-type 1,both
MS4A4A,membrane spanning 4-domains A4A,both
MS4A6A,membrane spanning 4-domains A6A,both
MS4A7,membrane spanning 4-domains A7,both
MSC,musculin,both
MSI2,musashi RNA binding protein 2,both
MSR1,macrophage scavenger receptor 1,both
MSRB3,methionine sulfoxide reductase B3,both
MT1E,metallothionein 1E,both
MTRNR2L8,MT-RNR2 like 8,both
MXRA8,matrix remodeling associated 8,both
MYH10,myosin heavy chain 10,both
MYH9,myosin heavy chain 9,both
MYO1D,myosin ID,both
MYOF,myoferlin,both
NAB1,NGFI-A binding protein 1,both
NAB2,NGFI-A binding protein 2,both
NBPF14,NBPF member 14,both
NCAPG,non-SMC condensin I complex subunit G,both
NCF4,neutrophil cytosolic factor 4,both
NCKAP1L,NCK associated protein 1 like,both
NDNF,neuron derived neurotrophic factor,both
NDRG1,N-myc downstream regulated 1,both
NEBL,nebulette,both
NEFL,neurofilament light,both
NFE2L3,nuclear factor. erythroid 2 like 3,both
NFIL3,nuclear factor. interleukin 3 regulated,both
NFKBIA,NFKB inhibitor alpha,both
NKAIN4,sodium/potassium transporting ATPase interacting 4,both
NKX3-1,NK3 homeobox 1,both
NLRP1,NLR family pyrin domain containing 1,both
NME2,NME/NM23 nucleoside diphosphate kinase 2,both
NMRK1,nicotinamide riboside kinase 1,both
NNMT,nicotinamide N-methyltransferase,both
NOTCH2,notch 2,both
NPHS1,NPHS1. nephrin,both
NPHS2,NPHS2. podocin,both
NPTN,neuroplastin,both
NPY1R,neuropeptide Y receptor Y1,both
NR4A1,nuclear receptor subfamily 4 group A member 1,both
NR4A2,nuclear receptor subfamily 4 group A member 2,both
NR4A3,nuclear receptor subfamily 4 group A member 3,both
NTNG1,netrin G1,both
NUP93,nucleoporin 93,both
NXT1,nuclear transport factor 2 like export factor 1,both
ODC1,ornithine decarboxylase 1,both
OSGIN1,oxidative stress induced growth inhibitor 1,both
OTULINL,OTU deubiquitinase with linear linkage specificity like,both
P3H2,prolyl 3-hydroxylase 2,both
PALLD,palladin. cytoskeletal associated protein,both
PAPPA,pappalysin 1,both
PAPPA2,pappalysin 2,both
PCDH18,protocadherin 18,both
PCED1B,PC-esterase domain containing 1B,both
PCOLCE,procollagen C-endopeptidase enhancer,both
PCOLCE2,procollagen C-endopeptidase enhancer 2,both
PDK4,pyruvate dehydrogenase kinase 4,both
PDLIM2,PDZ and LIM domain 2,both
PEBP4,phosphatidylethanolamine binding protein 4,both
PER1,period circadian regulator 1,both
PER2,period circadian regulator 2,both
PHF10,PHD finger protein 10,both
PHLDA1,pleckstrin homology like domain family A member 1,both
PHYHIP,phytanoyl-CoA 2-hydroxylase interacting protein,both
PID1,phosphotyrosine interaction domain containing 1,both
PIGR,polymeric immunoglobulin receptor,both
PIK3AP1,phosphoinositide-3-kinase adaptor protein 1,both
PIK3CG,phosphatidylinositol-4.5-bisphosphate 3-kinase catalytic subunit gamma,both
PIM2,Pim-2 proto-oncogene. serine/threonine kinase,both
PIM3,Pim-3 proto-oncogene. serine/threonine kinase,both
PKM,pyruvate kinase M1/2,both
PLAC8,placenta specific 8,both
PLCB4,phospholipase C beta 4,both
PLCD3,phospholipase C delta 3,both
PLD4,phospholipase D family member 4,both
PLEK,pleckstrin,both
PLK1,polo like kinase 1,both
PLK3,polo like kinase 3,both
PLPP2,phospholipid phosphatase 2,both
PLSCR1,phospholipid scramblase 1,both
PMP22,peripheral myelin protein 22,both
PODXL,podocalyxin like,both
PPFIA1,PTPRF interacting protein alpha 1,both
PPFIA4,PTPRF interacting protein alpha 4,both
PPIB,peptidylprolyl isomerase B,both
PPIC,peptidylprolyl isomerase C,both
PPP1R15A,protein phosphatase 1 regulatory subunit 15A,both
PPP1R15B,protein phosphatase 1 regulatory subunit 15B,both
PPP2CB,protein phosphatase 2 catalytic subunit beta,both
PPP2R5A,protein phosphatase 2 regulatory subunit B'alpha,both
PPTC7,PTC7 protein phosphatase homolog,both
PRELP,proline and arginine rich end leucine rich repeat protein,both
PRKCA,protein kinase C alpha,both
PRMT2,protein arginine methyltransferase 2,both
PROM1,prominin 1,both
PRR15L,proline rich 15 like,both
PRRT2,proline rich transmembrane protein 2,both
PTEN,phosphatase and tensin homolog,both
PTGIR,prostaglandin I2 receptor,both
PTN,pleiotrophin,both
PTPN14,protein tyrosine phosphatase. non-receptor type 14,both
PTPN21,protein tyrosine phosphatase. non-receptor type 21,both
PTPN6,protein tyrosine phosphatase. non-receptor type 6,both
PTPN7,protein tyrosine phosphatase. non-receptor type 7,both
PTPRC,protein tyrosine phosphatase. receptor type C,both
PTPRD,protein tyrosine phosphatase. receptor type D,both
PTPRO,protein tyrosine phosphatase. receptor type O,both
PTPRQ,protein tyrosine phosphatase. receptor type Q,both
PURA,purine rich element binding protein A,both
PXDC1,PX domain containing 1,both
PXDN,peroxidasin,both
PYCARD,PYD and CARD domain containing,both
PYGB,glycogen phosphorylase B,both
QPCT,glutaminyl-peptide cyclotransferase,both
R3HDM2,R3H domain containing 2,both
RAC2,Rac family small GTPase 2,both
RAET1E,retinoic acid early transcript 1E,both
RAMP1,receptor activity modifying protein 1,both
RARRES1,retinoic acid receptor responder 1,both
RARRES3,retinoic acid receptor responder 3,both
RASAL1,RAS protein activator like 1,both
RASEF,RAS and EF-hand domain containing,both
RASL10A,RAS like family 10 member A,both
RASSF8,Ras association domain family member 8,both
RB1,RB transcriptional corepressor 1,both
RCAN1,regulator of calcineurin 1,both
RCC1,regulator of chromosome condensation 1,both
RET,ret proto-oncogene,both
RETREG1,reticulophagy regulator 1,both
RGS10,regulator of G protein signaling 10,both
RGS11,regulator of G protein signaling 11,both
RGS2,regulator of G protein signaling 2,both
RHEX,regulator of hemoglobinization and erythroid cell expansion,both
RHOB,ras homolog family member B,both
RHOU,ras homolog family member U,both
RNASE6,ribonuclease A family member k6,both
RNF19B,ring finger protein 19B,both
ROBO2,roundabout guidance receptor 2,both
RRAS,RAS related,both
RRNAD1,ribosomal RNA adenine dimethylase domain containing 1,both
RUSC2,RUN and SH3 domain containing 2,both
S100A11,S100 calcium binding protein A11,both
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,both
SASH3,SAM and SH3 domain containing 3,both
SBDS,SBDS. ribosome maturation factor,both
SBSPON,somatomedin B and thrombospondin type 1 domain containing,both
SCIMP,SLP adaptor and CSK interacting membrane protein,both
SCML1,Scm polycomb group protein like 1,both
SCN4B,sodium voltage-gated channel beta subunit 4,both
SEC14L6,SEC14 like lipid binding 6,both
SEC62,SEC62 homolog. preprotein translocation factor,both
SEL1L3,SEL1L family member 3,both
SELPLG,selectin P ligand,both
SEMA3B,semaphorin 3B,both
SEPTIN1,septin 1,both
SERPINE1,serpin family E member 1,both
SERPINF1,serpin family F member 1,both
SERTAD1,SERTA domain containing 1,both
SERTAD3,SERTA domain containing 3,both
SERTAD4,SERTA domain containing 4,both
SFMBT2,Scm like with four mbt domains 2,both
SFRP4,secreted frizzled related protein 4,both
SGK1,serum/glucocorticoid regulated kinase 1,both
SH3RF1,SH3 domain containing ring finger 1,both
SHANK3,SH3 and multiple ankyrin repeat domains 3,both
SIK1B,salt inducible kinase 1B (putative),both
SIRT1,sirtuin 1,both
SLAMF1,signaling lymphocytic activation molecule family member 1,both
SLC15A1,solute carrier family 15 member 1,both
SLC25A25,solute carrier family 25 member 25,both
SLC25A28,solute carrier family 25 member 28,both
SLC25A33,solute carrier family 25 member 33,both
SLC27A4,solute carrier family 27 member 4,both
SLC2A12,solute carrier family 2 member 12,both
SLC34A2,solute carrier family 34 member 2,both
SLC35F6,solute carrier family 35 member F6,both
SLC38A1,solute carrier family 38 member 1,both
SLC45A1,solute carrier family 45 member 1,both
SLC48A1,solute carrier family 48 member 1,both
SLK,STE20 like kinase,both
SLPI,secretory leukocyte peptidase inhibitor,both
SMIM10,small integral membrane protein 10,both
SMPDL3B,sphingomyelin phosphodiesterase acid like 3B,both
SNED1,sushi. nidogen and EGF like domains 1,both
SNTA1,syntrophin alpha 1,both
SNX6,sorting nexin 6,both
SOCS2,suppressor of cytokine signaling 2,both
SOCS3,suppressor of cytokine signaling 3,both
SORBS2,sorbin and SH3 domain containing 2,both
SOWAHC,sosondowah ankyrin repeat domain family member C,both
SPACA6,sperm acrosome associated 6,both
SPON2,spondin 2,both
SPP1,secreted phosphoprotein 1,both
SPRY2,sprouty RTK signaling antagonist 2,both
SPRY4,sprouty RTK signaling antagonist 4,both
SPSB1,splA/ryanodine receptor domain and SOCS box containing 1,both
SPTB,spectrin beta. erythrocytic,both
SRF,serum response factor,both
ST3GAL6,ST3 beta-galactoside alpha-2.3-sialyltransferase 6,both
ST6GALNAC,,both
ST6GALNAC3,ST6 N-acetylgalactosaminide alpha-2.6-sialyltransferase 3,both
STARD8,StAR related lipid transfer domain containing 8,both
STAT5A,signal transducer and activator of transcription 5A,both
STEAP4,STEAP4 metalloreductase,both
STMN3,stathmin 3,both
STOM,stomatin,both
SULT1C4,sulfotransferase family 1C member 4,both
SVEP1,sushi. von Willebrand factor type A. EGF and pentraxin domain containing 1,both
SYT11,synaptotagmin 11,both
SYTL2,synaptotagmin like 2,both
TAB2,TGF-beta activated kinase 1 (MAP3K7) binding protein 2,both
TAGAP,T cell activation RhoGTPase activating protein,both
TAGLN,transgelin,both
TBC1D10C,TBC1 domain family member 10C,both
TBC1D16,TBC1 domain family member 16,both
TCEA2,transcription elongation factor A2,both
TCEAL2,transcription elongation factor A like 2,both
TCF7,transcription factor 7,both
TCIM,transcriptional and immune response regulator,both
TEAD3,TEA domain transcription factor 3,both
TENT4A,terminal nucleotidyltransferase 4A,both
TESC,tescalcin,both
TESK1,testis associated actin remodelling kinase 1,both
TGFBI,transforming growth factor beta induced,both
